31_1	What is throat cancer?
31_2	Is it treatable? cancer throat
31_3	Tell me about lung cancer. cancer
31_4	What are its symptoms? cancer lung
31_5	Can it spread to the throat? cancer lung
31_6	What causes throat cancer?
31_7	What is the first sign of it? cancer throat
31_8	Is it the same as esophageal cancer? cancer throat
31_9	What's the difference in their symptoms? cancer throat lung
32_1	What are the different types of sharks?
32_2	Are sharks endangered?  If so, which species? sharks
32_3	Tell me more about tiger sharks. sharks
32_4	What is the largest ever to have lived on Earth? sharks
32_5	What's the biggest ever caught? sharks
32_6	What about for great whites? sharks
32_7	Tell me about makos. sharks
32_8	What are their adaptations? sharks makos
32_9	Where do they live? sharks makos
32_10	What do they eat? sharks makos
32_11	How do they compare with tigers for being dangerous? tiger sharks
33_1	Tell me about the Neverending Story film.
33_2	What is it about? neverending story film
33_3	How was it received? neverending story film
33_4	Did it win any awards? neverending story film
33_5	Was it a book first? neverending story film
33_6	Who was the author and when what it published? neverending story film
33_7	What are the main themes? neverending story film
33_8	Who are the main characters? neverending story film
33_9	What are the differences between the book and movies? neverending story film
33_10	Did the horse Artax really die? neverending story film
34_1	Tell me about the Bronze Age collapse.
34_2	What is the evidence for it? age bronze collapse
34_3	What are some of the possible causes? age bronze collapse
34_4	Who were the Sea Peoples? age bronze collapse
34_5	What was their role in it? peoples bronze collapse age sea
34_6	What other factors led to a breakdown of trade? age sea peoples bronze
34_7	What about environmental factors? age bronze
34_8	What empires survived? age bronze collapse
34_9	What came after it? age bronze collapse
35_1	Tell me about the history of toilets.
35_2	Where does the term come from? toilets
35_3	Where and when was the first invented? toilets
35_4	Why do the Brits call it a loo? toilets
35_5	What came before them? brits toilets loo
35_6	When did indoor versions become common? toilets
35_7	How many types are there? indoor toilets
35_8	Why are they so important for society? toilets
35_9	What is their role in film? toilets
36_1	What is the US Electoral College?
36_2	How does it work? us electoral college
36_3	Tell me about its creation. us electoral college
36_4	Why was the system chosen? electoral college
36_5	How has it changed over time? us electoral college
36_6	What if the electors don't vote for the pledged candidate? electoral college
36_7	How has this changed election outcomes? electoral college
36_8	Who are the Hamilton Electors and what were they trying to do? electoral college
36_9	How would the College be abolished? electoral
36_10	How does the National Popular Vote Interstate Compact work? electoral
36_11	Is it legal? compact interstate vote national popular
37_1	What was the Stanford Experiment?
37_2	What did it show? stanford experiment
37_3	Tell me about the author of the experiment. stanford
37_4	Was it ethical? stanford experiment
37_5	What are other similar experiments? stanford
37_6	What happened in the Milgram experiment? stanford
37_7	Why was it important? milgram stanford experiment experiments
37_8	What were the similarities and differences between the studies? milgram stanford experiment experiments
37_9	What about the BBC experiment? stanford
37_10	What are the key findings? bbc experiment experiments
37_11	How did the results differ? bbc stanford experiment experiments
37_12	Why was it ended? experiment bbc milgram experiments stanford
38_1	What is Lyme disease?
38_2	How do you get Lyme Disease?
38_3	How does it make you feel? lyme disease
38_4	What happens if it goes untreated? lyme disease
38_5	Can it kill you? lyme disease
38_6	How reliable is the test? lyme disease
38_7	Can it be cured? lyme disease
38_8	What is Chronic Lyme? disease
39_1	What does it mean to be a vegan?
39_2	What is the environmental argument for it? vegan
39_3	Do you need milk for strong bones? vegan
39_4	What are other good sources of calcium? milk
39_5	If you don't eat any meat, at all, is it bad for you?
39_6	What are good sources of vitamin B12?
39_7	Does it help you lose weight? vitamin b12
39_8	What about its health effects versus being vegetarian?
39_9	How does the environmental impact compare between them? vegetarian vegan
40_1	What are the origins of popular music?
40_2	What are its characteristics? music popular
40_3	What technological developments enabled it? music popular
40_4	When and why did people start taking pop seriously? music popular
40_5	How has it been integrated into music education? music pop popular
40_6	Describe some of the influential pop bands. music pop popular
40_7	What makes a song pop punk?
40_8	What is the difference between it and emo? pop punk
40_9	How did Britpop change music?
40_10	What are its roots and what influenced it? britpop
41_1	Why is the drinking age in the US 21 and not 18?
41_2	What were the pros and cons? age drinking 21
41_3	Tell me about the negative health effects of drinking. drinking
41_4	How does binge drinking affect development?
41_5	Can it damage mental health? drinking binge
41_6	What are the short and long-term effects of usage on brain chemicals? drinking binge
41_7	Are alcoholics generally depressed?
41_8	What are the effects on vitamins and minerals? alcoholics drinking
41_9	Are there any benefits? alcoholics drinking binge
42_1	What is Chattanooga famous for?
42_2	What is there to do in downtown Chattanooga? chattanooga
42_3	Are there tourism activities related to trucks or trains? chattanooga downtown
42_4	Are there any related to Bessie Smith? chattanooga tourism
42_5	Can I visit some nearby distilleries? chattanooga
42_6	What is Rock City, and why is it famous? chattanooga
42_7	Are special events held there? rock chattanooga city
42_8	What kind of food is Chattanooga known for?
43_1	What are some interesting things around Ann Arbor?
43_2	Tell me about when the city was founded. ann arbor
43_3	How does it relate to the establishment of the University? ann arbor
43_4	Does the Museum of Art have any special collections? ann arbor
43_5	What is the South Pond Nature Area? ann arbor
43_6	Are there any film festivals? ann arbor
43_7	How about for jazz? film ann festivals arbor
43_8	What are popular bars or clubs where I can listen to it? ann jazz arbor
44_1	What causes acidic reflux in the morning?
44_2	Does it have long term side effects? reflux acidic
44_3	What is the best OTC for it?
44_4	What are the side effects of long term PPI use?
44_5	Tell me about natural treatments. ppi
44_6	What foods cause it? reflux acidic
44_7	What ones reduce it? reflux acidic
44_8	How does exercise affect it?
45_1	What dog breed is the best for playing?
45_2	What kind should I get if I’m allergic? dog
45_3	How about big and active dogs?
45_4	Do big dogs live longer than small dogs?
45_5	Will I need to put a lot of time into training?
45_6	Tell me about some breeds that are independent and can be left home all day.
45_7	How much does a Irish Wolfhound weigh?
45_8	How much do they cost? irish wolfhound
46_1	Why is learning a second language difficult?
46_2	At what age is it harder and why? second language
46_3	If I already know English, which language would be the easiest to learn?
46_4	How can I begin learning Norwegian?
46_5	Is it easier to learn than Spanish? norwegian
46_6	What other languages are closest to it? norwegian spanish
46_7	Describe some of its similarities with Danish.
46_8	How did all these languages evolve? danish
46_9	How is it related to Old Norse? norwegian
46_10	Are there advantages of knowing multiple languages? old norwegian norse
47_1	Why is Boise called the city of trees?
47_2	How did it get its name? trees city boise
47_3	What is there to do in the summer? boise
47_4	What are popular hiking trails? boise
47_5	Tell me about the Oregon Trail Reserve. boise
47_6	Tell me about the history of the Boise Greenbelt. boise
47_7	What is the controversy around it? boise
48_1	What is the main function of a virtual machine?
48_2	What are its advantages? machine virtual
48_3	Describe some of its disadvantages. machine virtual
48_4	How do they work? machine virtual
48_5	What are the main types of VMs? machine virtual
48_6	What is their role in cloud computing? vms virtual
48_7	How is a container different? vms virtual cloud
48_8	What is the advantage of Docker? container
48_9	How is it related Kurbenetes? docker
49_1	How was Netflix started?
49_2	How did it originally work? netflix
49_3	What is its relationship with Blockbuster? netflix
49_4	When did Netflix shift from DVDs to a streaming service?
49_5	What are its other competitors? blockbuster netflix
49_6	How does it compare to Amazon Prime Video? netflix
49_7	Describe it’s subscriber growth over time. netflix
49_8	How has it changed the way TV is watched? netflix
49_9	How has it impacted society? netflix
49_10	How about dating and relationships? netflix
50_1	What was the first artificial satellite?
50_2	What are the types of orbits? satellite artificial
50_3	What are the important classes of satellite?
50_4	How do navigation systems work? satellite
50_5	What is the Galileo system and why is it important? navigation
50_6	Why did it create tension with the US? galileo satellite system
50_7	What are Cubesats? galileo
50_8	What are their advantages? cubesats
50_9	What are they used for? cubesats satellite
50_10	What is their future? cubesats satellite
51_1	How do I save for a child’s college education in the US?
51_2	What is a 529 plan?
51_3	How does it work? plan 529
51_4	What are the main advantages? plan 529
51_5	What about disadvantages? plan 529
51_6	How long have they been around? plan 529
51_7	What are the types of plans? 529
51_8	What can the funds be used for? 529
51_9	What happens if it’s not used? plan 529
51_10	How does a ESA compare? plan 529
52_1	Describe the Afra tanker scale.
52_2	Why was it developed? scale afra tanker
52_3	What are supertankers? scale afra tanker
52_4	Describe their invention. afra tanker
52_5	What are the important factors led to their development? afra supertankers tanker
52_6	What was the role of the Six-Day War?
52_7	How many barrels can a VLCC ship carry?
52_8	What is the largest in the world? ship vlcc
52_9	What new problem did increased scale create? afra tanker
52_10	Describe crude oil washing. afra
53_1	Is Red Bull bad for you?
53_2	Can it kill you? red bull
53_3	How much can you drink in a day? red bull
53_4	What is taurine?
53_5	What are its health effects? taurine
53_6	In general, what are the effects of consuming energy drinks? taurine
53_7	Why are they harmful when mixed with alcohol? drinks taurine energy
53_8	What is the argument for their age restriction to kids? drinks bull energy
53_9	Where are they banned to minors? red bull drinks
54_1	What is worth seeing in Washington D.C.?
54_2	Which Smithsonian museums are the most popular? washington
54_3	Why is the National Air and Space Museum important? smithsonian washington
54_4	Is the Spy Museum free? national air washington space
54_5	What is there to do in DC after the museums close?
54_6	What is the best time to visit the reflecting pools? dc washington
54_7	Are there any famous foods? pools reflecting washington
54_8	What is a DC half smoke?
54_9	Tell me about its history.
55_1	Describe the oceanic crust.
55_2	What are the main layers? crust oceanic
55_3	How does it differ from the continental crust? oceanic
55_4	Which is younger and why? continental crust oceanic
55_5	Where is the youngest oceanic found? crust
55_6	What about the oldest? crust oceanic
55_7	What is seafloor spreading? oceanic
55_8	What is its significance? spreading seafloor
55_9	How is ocean crust formed?
55_10	Is it being recycled? ocean crust
56_1	What is Darwin’s theory in a nutshell?
56_2	How was it developed? darwin theory
56_3	How do sexual and asexual reproduction affect it? darwin theory
56_4	How can fossils be used to understand it? darwin theory
56_5	What is modern evidence for it? darwin theory
56_6	What is the impact on modern biology? darwin theory
56_7	Compare and contrast microevolution and macroevolution. darwin theory
56_8	What is the relationship to speciation? darwin theory
57_1	How can you tell if someone is suffering from depression?
57_2	What are common types? depression
57_3	What causes it? depression
57_4	What is the role of brain chemicals? depression
57_5	Does a lack of sunlight cause it? depression
57_6	How can you treat SAD? depression
57_7	What is the role of melatonin? sad depression
57_8	How are anxiety and depression related?
57_9	What treatments exist for depression?
57_10	What is CBT and how does it work?
58_1	What is a real-time database?
58_2	How does it differ from traditional ones? database real time
58_3	What are the advantages of real-time processing? database
58_4	What are examples of important ones? time processing real database
58_5	What are important applications? processing database real time
58_6	What are important cloud options? database
58_7	Tell me about the Firebase DB. database
58_8	How is it used in mobile apps? firebase db database
59_1	Which weekend sports have the most injuries?
59_2	What are the most common types of injuries?
59_3	What is the ACL?
59_4	What is an injury for it? acl
59_5	Tell me about the RICE method. acl
59_6	Is there disagreement about it? rice method
59_7	What is arnica used for? rice method
59_8	What are some ways to avoid injury? acl arnica
60_1	Tell me about the benefits of yoga.
60_2	Does it help in reducing stress? yoga
60_3	What are some of the main types? yoga
60_4	What type is best for losing weight? yoga
60_5	What are common poses in Bikram yoga?
60_6	Why is mindful breathing important? bikram yoga
60_7	Does it help relieve asthma? bikram yoga
61_1	Who are The Avengers?
61_2	Tell me about their first appearance. avengers
61_3	Who is the most powerful and why? avengers
61_4	What is the relationship of Spider-Man to the team? avengers
61_5	Why is Batman not a member? avengers
61_6	What is an important team in the DC universe? avengers
61_7	Tell me about the origins of the Justice League.
61_8	Who are the important members? league justice
61_9	Which team came first? avengers league justice
62_1	What is the Surrealism movement in art?
62_2	What are its characteristics? surrealism movement
62_3	Tell me about its founding. surrealism movement
62_4	Tell me about the series of manifestos. surrealism movement
62_5	How is it different from Dada? surrealism movement
62_6	What is its importance? surrealism movement
62_7	Who are the most famous artists? surrealism movement
62_8	Why did Dali choose surrealism?
62_9	What are his most iconic works? dali
62_10	Is it still used today? surrealism dali
62_11	What has its impact been on other fields? surrealism
63_1	What is blockchain?
63_2	What problem does it solve? blockchain
63_3	How does it work? blockchain
63_4	What are the types of networks? blockchain
63_5	Tell me about its invention. blockchain
63_6	How is it related to cryptocurrencies? blockchain
63_7	How is Bitcoin generated? blockchain
63_8	How secure is blockchain?
63_9	What are its other uses in business? blockchain
63_10	What are the implications for society? blockchain
64_1	What are the types of pork ribs?
64_2	What are baby backs?
64_3	What are the differences with spareribs?
64_4	What are ways to cook them? pork ribs
64_5	How about on the bbq? pork ribs
64_6	Describe the 321 method.
64_7	How long do they take to smoke? pork ribs
64_8	How do you know when they are done? pork ribs
64_9	What is in a typical rub?
64_10	What’s the best style of sauce for them? pork ribs
64_11	What’s in Kansas City style sauce? pork ribs
65_1	What is nominal GDP?
65_2	Why is it not a good measure? gdp nominal
65_3	What is the difference with real? gdp nominal
65_4	How is it related to gross national income? gdp nominal
65_5	What is the meaning of GNI? gdp
65_6	How is inflation affected by high GDP growth?
65_7	What is the relationship between inflation and unemployment?
65_8	What is frictional unemployment and why is it important? unemployment
65_9	Is it bad for the economy? unemployment inflation frictional
65_10	How can the government reduce its level? gdp unemployment inflation
66_1	Tell me about lavender plants.
66_2	What are the different types? plants lavender
66_3	What places are famous for them? plants lavender
66_4	Are they safe to eat? plants lavender
66_5	What variety is best for cooking? plants lavender
66_6	How is it used? plants lavender
66_7	What is it good with? plants lavender
66_8	What are the health benefits of its oil? lavender
66_9	Are there any side effects? lavender
67_1	Why is blood red?
67_2	What are red blood cells? blood
67_3	How are they created? blood red cells
67_4	How is oxygen transported? blood red cells
67_5	What is anemia?
67_6	What are the symptoms? anemia
67_7	Can it go away? anemia
67_8	What are its possible causes? anemia
67_9	How is it treated? anemia
67_10	What foods contain high levels of iron? anemia
67_11	What improves absorption? blood iron
68_1	What is cuisine is Emilia-Romagna famous for?
68_2	Tell me about cooking schools and classes. romagna emilia
68_3	What are famous foods from the region? romagna emilia
68_4	Describe the traditional process for making balsamic vinegar? romagna emilia
68_5	What is mortadella and where is it from?
68_6	What’s the difference with Bologna? mortadella
68_7	Where was Parmesan cheese created? bologna romagna emilia
68_8	What is done with the whey after production? romagna emilia cheese
68_9	What are typical pasta dishes? romagna emilia
68_10	What is the history of tagliatelle al ragu bolognese? romagna
68_11	What are its common variations? bolognese tagliatelle
69_1	How do you sleep after jet lag?
69_2	Does melatonin help? jet sleep lag
69_3	How was it discovered? melatonin
69_4	What are good sources in food? melatonin
69_5	Is melatonin bad for you?
69_6	What are the side effects? melatonin
69_7	Why does it require a prescription in the UK? melatonin
69_8	How can I increase my levels naturally? melatonin
69_9	Is it effective for treating insomnia? melatonin
69_10	How about for anxiety? melatonin
70_1	What is solar energy?
