81_1	How do you know when your garage door opener is going bad?
81_2	Now it stopped working. Why?
81_3	How much does it cost for someone to fix it?
81_4	How about replacing it instead?
81_5	How do I choose a new one?
81_6	What does a smart one do?
81_7	What's important for me to know about their safety?
81_8	How could they be hacked?
82_1	I would like to learn about GMO Food labeling.
82_2	What are the pros and cons?
82_3	And what about the cons?
82_4	What are the EU rules?
82_5	Tell me more about traceability tools.
82_6	What is the role of Co-Extra?
82_7	How is testing done for contamination?
82_8	What's the difference between the European and US approaches?
82_9	How does the DNA-based method work?
82_10	How could Co-Extra improve it?
83_1	What are some interesting facts about bees?
83_2	Why doesn't it spoil?
83_3	Why are so many dying?
83_4	What can be done to stop it?
83_5	What has happened to their habitat?
83_6	What can I do to help with the problem?
83_7	What is the cause of CCD?
83_8	What would happen if they died out?
84_1	How does seed investment work for startups?
84_2	Tell me more about angel rounds.
84_3	How does it compare with crowdfunding?
84_4	How much is a typical A series round?
84_5	What are the risks of investing?
84_6	What are the different types of instruments used by VCs?
85_1	How much does a used Lamborghini cost?
85_2	How does it compare to a Ferrari?
85_3	Interesting. What about for a pimped-out food truck?
85_4	What licenses and permits are needed?
85_5	What makes a good location?
85_6	What is a typical day like?
85_7	How can I run it successfully?
85_8	What are some good examples to learn from?
85_9	Besides inventive flavors, what made it successful?
86_1	What is the climate like in Utah?
86_2	How does Salt Lake City differ?
86_3	What is its main economic activity?
86_4	What was the impact of the 2002 games?
86_5	What were important ski locations used?
86_6	What are the important non-ski events that happen in the city?
86_7	What about some popular non-winter things to do in the area?
87_1	What are the different types of orange trees?
87_2	How can you tell them apart?
87_3	What type has thorns?
87_4	Where do they originally come from?
87_5	Tell me about the Hamlin variety.
87_6	Why did it replace PB?
87_7	What are the different types of navels?
87_8	Which is the most delicious?
87_9	How do they compare with blood oranges?
88_1	Can I have some information on the labor systems of the Ottoman Empire?
88_2	What was the role of slavery?
88_3	How did it govern?
88_4	Why was it important?
88_5	What was the culture like?
88_6	What was the role of storytellers?
88_7	What were popular stories?
88_8	What was the importance of the millet?
88_9	Why did the British continue it?
88_10	What is its historical importance in developing national identities?
89_1	What is the relationship between predator and prey?
89_2	What do predator plants eat?
89_3	What about Venus flytraps in particular?
89_4	Where is it native to?
89_5	How do they attract and catch their prey?
89_6	What are other similar plants from its native area?
89_7	How do populations of predators and prey relate?
89_8	Why would the roles reverse?
89_9	How does the relationship influence biodiversity?
89_10	What are examples of these predators?
89_11	Why would humans be considered one?
90_1	Which is the biggest commercial plane?
90_2	What are its operational costs?
90_3	How does its fuel consumption compare to its competitors?
