81_1	How do you know when your garage door opener is going bad?
81_2	Now it stopped working. Why? door garage light opener
81_3	How much does it cost for someone to fix it? door garage opener
81_4	How about replacing it instead? door garage openers opener
81_5	How do I choose a new one? door garage opener
81_6	What does a smart one do? door garage openers opener
81_7	What's important for me to know about their safety? door opener liftmaster garage 3240 model liftmaster.com
81_8	How could they be hacked? door garage
82_1	I would like to learn about GMO Food labeling.
82_2	What are the pros and cons? food autoplay labeled gmo labeling
82_3	And what about the cons? food labeling gmo
82_4	What are the EU rules? food labeling gmo
82_5	Tell me more about traceability tools. gm gmo
82_6	What is the role of Co-Extra?
82_7	How is testing done for contamination? food gm gmos gmo
82_8	What's the difference between the European and US approaches? food labeling gmo
82_9	How does the DNA-based method work?
82_10	How could Co-Extra improve it? based method dna
83_1	What are some interesting facts about bees?
83_2	Why doesn't it spoil? bees honeybees honey
83_3	Why are so many dying? bees
83_4	What can be done to stop it? beekeeping bees dying beekeepers
83_5	What has happened to their habitat? bees beeas bee
83_6	What can I do to help with the problem? bees honey bee
83_7	What is the cause of CCD?
83_8	What would happen if they died out? bees
84_1	How does seed investment work for startups?
84_2	Tell me more about angel rounds. seed
84_3	How does it compare with crowdfunding?
84_4	How much is a typical A series round?
84_5	What are the risks of investing? opengov
84_6	What are the different types of instruments used by VCs?
85_1	How much does a used Lamborghini cost?
85_2	How does it compare to a Ferrari? lamborghini
85_3	Interesting. What about for a pimped-out food truck?
85_4	What licenses and permits are needed? food trucks truck
85_5	What makes a good location? food truck
85_6	What is a typical day like?
85_7	How can I run it successfully? lamborghini
85_8	What are some good examples to learn from? food truck
85_9	Besides inventive flavors, what made it successful? kogi food trucks truck
86_1	What is the climate like in Utah?
86_2	How does Salt Lake City differ? climate
86_3	What is its main economic activity? lake salt city great utah
86_4	What was the impact of the 2002 games?
86_5	What were important ski locations used? lake salt 2002 utah olympics
86_6	What are the important non-ski events that happen in the city? utah lake salt park
86_7	What about some popular non-winter things to do in the area? city utah lake salt
87_1	What are the different types of orange trees?
87_2	How can you tell them apart? oranges orange blood
87_3	What type has thorns? orange tree trees
87_4	Where do they originally come from? osage orange trees
87_5	Tell me about the Hamlin variety. orange
87_6	Why did it replace PB? oranges orange hamlin
87_7	What are the different types of navels?
87_8	Which is the most delicious? oranges orange
87_9	How do they compare with blood oranges?
88_1	Can I have some information on the labor systems of the Ottoman Empire?
88_2	What was the role of slavery? ottoman
88_3	How did it govern? slave slavery slaves sexual
88_4	Why was it important? organisation empire administrative ottoman
88_5	What was the culture like? ottoman
88_6	What was the role of storytellers? empire ottoman
88_7	What were popular stories?
88_8	What was the importance of the millet?
88_9	Why did the British continue it? millet millets
88_10	What is its historical importance in developing national identities? slavery millet
89_1	What is the relationship between predator and prey?
89_2	What do predator plants eat?
89_3	What about Venus flytraps in particular?
89_4	Where is it native to? flytrap venus flytraps
89_5	How do they attract and catch their prey? flytrap venus flytraps
89_6	What are other similar plants from its native area? flytrap venus flytraps
89_7	How do populations of predators and prey relate? flytrap venus flytraps
89_8	Why would the roles reverse? predator predators prey
89_9	How does the relationship influence biodiversity? predator prey flytraps predators venus
89_10	What are examples of these predators? apex
89_11	Why would humans be considered one? predator predators
90_1	Which is the biggest commercial plane?
90_2	What are its operational costs? airbus a380
90_3	How does its fuel consumption compare to its competitors?
90_4	How do the freighter versions compare to each other?
90_5	Why did the A380 stop being produced? airbus
90_6	What was Boeing's response to compete with it? a380
90_7	What is the newest version and what is better about it? a350 a380
90_8	What are the differences between the variants? boeing 777 777x
91_1	What is the purpose of GDPR?
91_2	What is different compared to previous legislation? general data protection gdpr
91_3	What are the privacy implications of those technologies? data gdpr
91_4	Oh, IP addresses are considered PII? What is the full range of personal data? gdpr
91_5	How do big companies adapt to GDPR?
91_6	OK. Tell me about the privacy issues in social networks. gdpr
91_7	What do they get in return for their privacy? networking social sites
91_8	What are the symptoms of that addiction? network social
92_1	Do shoulder braces help recover from an injury?
92_2	Tell me more about some exercises that could help. braces
92_3	What are some others? shoulder circles cuff pendulum braces exercises rotator
92_4	How do I know if it's serious? shoulder syndromes impingement syndrome exercises
92_5	When should you consider surgery?
92_6	That seems extreme. What are other ways to treat the pain? surgical surgery
92_7	How do I stop it from hurting at my desk? shoulder
92_8	What are the benefits of a standing one? shoulder braces
93_1	Tell me about purchasing a Burger King franchise.
93_2	No, not information about its acquisition. I want to know how to open a franchise. king burger
93_3	Is there any financial support for the fee? king franchise burger
93_4	How much does an owner typically make? king burger
93_5	Is it better to be a franchise or independent? king mcdonalds burger
93_6	What support does it provide? king franchise agreement burger
93_7	OK let's do it. What is the process? king franchise burger
94_1	How did snowboarding begin?
94_2	Interesting. That's later than I expected. Who were the winners? snowboarding snowboard
94_3	What are strap-in bindings? snowboarding
94_4	What's an alternative to this binding style? strap
94_5	What else do I need for my first time? xpath bindings
94_6	How can I teach myself to get started?
94_7	What are the best slopes in Seattle?
94_8	What are other things to do at Bachelor? ski snowboarding slopes
95_1	How are waste and garbage processed?
95_2	Interesting. What is the impact of burning on the environment? waste
95_3	So you can compact them; why does it slow the waste processing? burning stubble
95_4	How is sewage recycled?
95_5	What are the pros and cons of recycling vs composting?
95_6	Tell me more about biodegradable plastics.
95_7	How are they made? plastic polymers.aterials polymer plastics
95_8	How is corn oil used?
96_1	How do you make Japanese Yakiniku?
96_2	Can the sauce be used in other dishes? japanese yakiniku
96_3	What are the best Yakiniku restaurants in Tokyo?
96_4	Tell me about three star Michelin sushi restaurants there. yakiniku
96_5	Oh you need an agent to make reservations? ishikawa
96_6	Tell me other fun things to do there. tokyo sukiyabashi jiro restaurants
96_7	What is the cost of living there compared to NYC? tokyo
96_8	What is the salary of foreign law firms there? tokyo
97_1	Who are the rivals of the Steelers?
97_2	What are notable games between Ravens versus Steelers?
97_3	And notable moments in their rivalry? ravens steelers
97_4	Tell me more about that Polamalu's interception.
97_5	How about his pick-6? polamalu
97_6	Tell me more about the immaculate reception.
97_7	What happened to the stadium? pittsburgh steelers
97_8	Tell me more about their defense. steelers
98_1	What is the environmental cost of food production?
98_2	Oh that much water? How is that for meat?
98_3	How much less is used for vegetables?
98_4	What are the benefits of being vegetarian?
98_5	Are there any health concerns? diet vegetarian
98_6	What are their sources of proteins?
98_7	Oh almonds? Can you show me recipes with it? almonds
98_8	How do you make the flour? macaroon macaron macarons
99_1	What is high blood carbon dioxide?
99_2	What should you do to treat it? hypercapnia
99_3	How about high cholesterol?
99_4	What should I eat to improve it? cholesterol high
99_5	What are the differences between the two fats?
99_6	So, there are two types.  Is the other fat good for you? saturated
99_7	Oh I like fish.  What other foods are good sources? fish
99_8	What types does olive oil contain? fats
100_1	What causes my teeth to chip off?
100_2	Oh, what can they do to fix it? teeth tooth broken chipped chip dentist
100_3	I have a larger chip, how do the options different? teeth tooth chipped chip repairing dental
100_4	A crown sounds better. What about using an implant?
100_5	Which one is more expensive? crown dental implant
100_6	What is the coverage of the crown in insurance?
100_7	I meant medicare
100_8	Show me covered dentists in Seattle
101_1	What is Melania Trump's religion?
101_2	What did she do before she was married? melania melanija trump
101_3	Does she have children? melania trump
101_4	How old is he? melania donald trump
101_5	They met at the Kit Kat Club?  Where is that? melania trump
101_6	When did she become a model? melania trump
101_7	Do we pay the First Lady? melania trump
101_8	What about Ivanka? melania melanija trump
101_9	And Jared? ivana donald trump
101_10	What does he do at the White House? melania jared trump
102_1	When did social security start in the US?
102_2	Was it mandatory? social security
102_3	Who received the first check? social security
102_4	When did the government start borrowing from it? social security
102_5	How much is owed? program social security
102_6	When will it run out of money? ncp ncpas
102_7	Wow! What will happen? trust social fund security
102_8	Can it be fixed? checks social check security
102_9	How much of an increase? social security
103_1	Why were the Dead such an influential live band?
103_2	Why did they allow live recordings? dead
103_3	Did they have a #1 hit? dead
103_4	Who was the leader? dead walking
103_5	How did he lose his finger? jerry garcia john
103_6	What was his relationship to the Airplane?
103_7	Is Cassidy about Jack Casady?
103_8	Who wrote it? jack cassidy
103_9	What else did they write? dead cassidy
103_10	Why did the band break up? dead
104_1	Who are some of the well-known Information Retrieval researchers?
104_2	What did he work on? croft bruce
104_3	Who are some important British ones? information retrieval researchers
104_4	What did his studies contribute to evaluation? information retrieval cleverdon cyril
104_5	What are some criticisms of the experiments? cranfield information research cleverdon retrieval
104_6	How did they influence modern initiatives? brick experiments mortar
104_7	What is TREC? information retrieval
104_8	What are some recent tasks? trec
104_9	e-Discovery?  What's that? trec
104_10	What are the important components of a test collection? pega
104_11	What about benchmarks for music?
104_12	What are important measures for web search engines?
104_13	What about online ones? search information engines metrics measures retrieval
105_1	When did the Black Lives Matter campaign begin?
105_2	Tell me more about what happened. matter lives black campaign
105_3	Why was he acquitted? george trayvon martin zimmerman
105_4	And how about what happened to Brown?
105_5	Who named the movement? lives black matter brown campaign
105_6	What was the US reaction to it? matter lives black
105_7	Tell me more about the movement of the police supporters. matter lives black
105_8	Why were they killed? rafael wenjian officers liu ramos nypd
105_9	What else motivates the Black Lives Matter movement?
