31_1	What is throat cancer?
31_2	What is throat cancer? [SEP] Is it treatable?
31_3	What is throat cancer? [SEP] Is it treatable? [SEP] Tell me about lung cancer.
31_4	What is throat cancer? [SEP] Is it treatable? [SEP] Tell me about lung cancer. [SEP] What are its symptoms? 
31_5	What is throat cancer? [SEP] Is it treatable? [SEP] Tell me about lung cancer. [SEP] What are its symptoms?  [SEP] Can it spread to the throat?
31_6	What is throat cancer? [SEP] Is it treatable? [SEP] Tell me about lung cancer. [SEP] What are its symptoms?  [SEP] Can it spread to the throat? [SEP] What causes throat cancer?
31_7	What is throat cancer? [SEP] Is it treatable? [SEP] Tell me about lung cancer. [SEP] What are its symptoms?  [SEP] Can it spread to the throat? [SEP] What causes throat cancer? [SEP] What is the first sign of it?
31_8	What is throat cancer? [SEP] Is it treatable? [SEP] Tell me about lung cancer. [SEP] What are its symptoms?  [SEP] Can it spread to the throat? [SEP] What causes throat cancer? [SEP] What is the first sign of it? [SEP] Is it the same as esophageal cancer?
31_9	What is throat cancer? [SEP] Is it treatable? [SEP] Tell me about lung cancer. [SEP] What are its symptoms?  [SEP] Can it spread to the throat? [SEP] What causes throat cancer? [SEP] What is the first sign of it? [SEP] Is it the same as esophageal cancer? [SEP] What's the difference in their symptoms?
32_1	What are the different types of sharks?
32_10	What are the different types of sharks? [SEP] Are sharks endangered?  If so, which species? [SEP] Tell me more about tiger sharks. [SEP] What is the largest ever to have lived on Earth? [SEP] What's the biggest ever caught? [SEP] What about for great whites? [SEP] Tell me about makos. [SEP] What are their adaptations? [SEP] Where do they live? [SEP] What do they eat?
32_11	What are the different types of sharks? [SEP] Are sharks endangered?  If so, which species? [SEP] Tell me more about tiger sharks. [SEP] What is the largest ever to have lived on Earth? [SEP] What's the biggest ever caught? [SEP] What about for great whites? [SEP] Tell me about makos. [SEP] What are their adaptations? [SEP] Where do they live? [SEP] What do they eat? [SEP] How do they compare with tigers for being dangerous?
32_2	What are the different types of sharks? [SEP] Are sharks endangered?  If so, which species?
32_3	What are the different types of sharks? [SEP] Are sharks endangered?  If so, which species? [SEP] Tell me more about tiger sharks.
32_4	What are the different types of sharks? [SEP] Are sharks endangered?  If so, which species? [SEP] Tell me more about tiger sharks. [SEP] What is the largest ever to have lived on Earth?
32_5	What are the different types of sharks? [SEP] Are sharks endangered?  If so, which species? [SEP] Tell me more about tiger sharks. [SEP] What is the largest ever to have lived on Earth? [SEP] What's the biggest ever caught?
32_6	What are the different types of sharks? [SEP] Are sharks endangered?  If so, which species? [SEP] Tell me more about tiger sharks. [SEP] What is the largest ever to have lived on Earth? [SEP] What's the biggest ever caught? [SEP] What about for great whites?
32_7	What are the different types of sharks? [SEP] Are sharks endangered?  If so, which species? [SEP] Tell me more about tiger sharks. [SEP] What is the largest ever to have lived on Earth? [SEP] What's the biggest ever caught? [SEP] What about for great whites? [SEP] Tell me about makos.
32_8	What are the different types of sharks? [SEP] Are sharks endangered?  If so, which species? [SEP] Tell me more about tiger sharks. [SEP] What is the largest ever to have lived on Earth? [SEP] What's the biggest ever caught? [SEP] What about for great whites? [SEP] Tell me about makos. [SEP] What are their adaptations?
32_9	What are the different types of sharks? [SEP] Are sharks endangered?  If so, which species? [SEP] Tell me more about tiger sharks. [SEP] What is the largest ever to have lived on Earth? [SEP] What's the biggest ever caught? [SEP] What about for great whites? [SEP] Tell me about makos. [SEP] What are their adaptations? [SEP] Where do they live?
33_1	Tell me about the Neverending Story film.
33_10	Tell me about the Neverending Story film. [SEP] What is it about? [SEP] How was it received? [SEP] Did it win any awards? [SEP] Was it a book first? [SEP] Who was the author and when what it published? [SEP] What are the main themes? [SEP] Who are the main characters? [SEP] What are the differences between the book and movies? [SEP] Did the horse Artax really die?
33_2	Tell me about the Neverending Story film. [SEP] What is it about?
33_3	Tell me about the Neverending Story film. [SEP] What is it about? [SEP] How was it received?
33_4	Tell me about the Neverending Story film. [SEP] What is it about? [SEP] How was it received? [SEP] Did it win any awards?
33_5	Tell me about the Neverending Story film. [SEP] What is it about? [SEP] How was it received? [SEP] Did it win any awards? [SEP] Was it a book first?
33_6	Tell me about the Neverending Story film. [SEP] What is it about? [SEP] How was it received? [SEP] Did it win any awards? [SEP] Was it a book first? [SEP] Who was the author and when what it published?
33_7	Tell me about the Neverending Story film. [SEP] What is it about? [SEP] How was it received? [SEP] Did it win any awards? [SEP] Was it a book first? [SEP] Who was the author and when what it published? [SEP] What are the main themes?
33_8	Tell me about the Neverending Story film. [SEP] What is it about? [SEP] How was it received? [SEP] Did it win any awards? [SEP] Was it a book first? [SEP] Who was the author and when what it published? [SEP] What are the main themes? [SEP] Who are the main characters?
